,upc,year,month,sales
channel_code,,,,F
0,1380014660,2012,5,109028.73498139805
1,1380014660,2012,6,242000.22429609817
2,1380014660,2012,7,106258.51752906975
3,1380014660,2012,8,154183.3832952222
4,1380014660,2012,9,268279.3912232128
5,1380014660,2012,10,105130.01409472711
6,1380014660,2012,11,25883.263608880166
7,1380014660,2012,12,4749.813090665983
8,1380055417,2012,5,88108.40492578817
9,1380055417,2012,6,173663.67991153835
10,1380055417,2012,7,86614.95911337205
11,1380055417,2012,8,125853.63129113331
12,1380055417,2012,9,204118.8037904644
13,1380055417,2012,10,72326.93132917167
14,1380055417,2012,11,13622.985313329367
15,1380055417,2012,12,2596.2122803472116
16,1380099280,2012,10,327.535847127535
17,1380099280,2012,11,57061.77277859102
18,1380099280,2012,12,111157.29490346303
19,2370002084,2012,5,76545.28736910112
20,2370002084,2012,6,169026.4168318529
21,2370002084,2012,7,85140.80388775392
22,2370002084,2012,8,96166.67800776091
23,2370002084,2012,9,183836.61517905653
24,2370002084,2012,10,129140.37292274217
25,2370002084,2012,11,90077.62386194122
26,2370002084,2012,12,199114.13834033805
27,2580002770,2012,5,137535.17022061226
28,2580002770,2012,6,174118.14302447296
29,2580002770,2012,7,225218.30344149392
30,2580002770,2012,8,126074.64584219916
31,2580002770,2012,9,153176.03252797015
32,2580002770,2012,10,143125.16532018836
33,2580002770,2012,11,147564.0154771285
34,2580002770,2012,12,96975.79652514584
35,7590166500,2012,5,3648.2692996540704
36,7590166500,2012,6,2490.0903527135506
37,7590166500,2012,7,1122.8843975225225
38,7590166500,2012,8,854.2610258747544
39,7590166500,2012,9,1122.6275671436042
40,7590166500,2012,10,1659.2433002762446
41,7590166500,2012,11,2493.6685686362243
42,7590166500,2012,12,3291.495169533235
43,7590166501,2012,5,4687.488139416486
44,7590166501,2012,6,3246.216352242919
45,7590166501,2012,7,1206.1244233186676
46,7590166501,2012,8,1135.4154628677097
47,7590166501,2012,9,1187.5661534871463
48,7590166501,2012,10,1925.4592659424084
49,7590166501,2012,11,2436.348696426478
50,7590166501,2012,12,3036.341675776674
51,74215876883,2012,5,5756.1152751125865
52,74215876883,2012,6,3342.0021324920012
53,74215876883,2012,7,740.9979617117118
54,74215876883,2012,8,298.4326619613767
55,74215876883,2012,9,657.9163684331072
56,74215876883,2012,10,221.29863728130664
57,74215876883,2012,11,291.02306218807155
58,74215876883,2012,12,270.6782569326789
59,74215878775,2012,5,706.6476906207167
60,74215878775,2012,6,935.2805350839734
61,74215878775,2012,7,355.3945244081291
62,74215878775,2012,8,178.19991848215335
63,74215878775,2012,9,187.14673203489954
64,74215878775,2012,10,52.711117168215054
65,74215878775,2012,11,43.389919685867056
66,74215878775,2012,12,54.728329275569365
