,brand_code_uc,brand_descr
0,564741,GUINNESS DRAUGHT STOUT
1,564742,GUINNESS EXTRA STOUT
2,587271,LEINENKUGEL'S SEASONAL
3,587272,LEINENKUGEL'S SUNSET WHEAT
4,512009,BASS PALE ALE
5,598030,MICHELOB
6,598032,MICHELOB AMBER BOCK
7,604183,NATURAL ICE
8,637467,SHOCK TOP WHEAT BELGIAN WT ALE
9,598048,MICHELOB GOLDEN DRAFT LIGHT
10,604197,NATURAL LIGHT
11,668710,YUENGLING BLACK AND TAN PORTER
12,598055,MICHELOB LIGHT
13,581160,KING COBRA MALT LIQUOR
14,668712,YUENGLING LIGHT
15,668709,YUENGLING AMBER LAGER
16,559149,GENNY LIGHT
17,598063,MICHELOB ULTRA AMBER LIGHT
18,598064,MICHELOB ULTRA LIGHT
19,610363,OLDE ENGLSH 800 MALT LIQUOR
20,580676,KEYSTONE
21,580681,KEYSTONE ICE
22,600650,MOOSEHEAD
23,580683,KEYSTONE LIGHT
24,592970,MALTA GOYA MALT BEVERAGE
25,580682,KEYSTONE ICE ALE
26,623690,PYRAMID APRICOT ALE
27,623698,PYRAMID HAYWIRE HEFEWEIZEN ALE
28,519762,BRIDGEPORT INDIA PALE ALE
29,520793,BUD ICE
30,520794,BUD ICE LIGHT
31,520795,BUD LIGHT
32,637020,SHARP'S NEAR BEER
33,623707,PYRAMID SEASONAL
34,520796,BUD LIGHT & CLAMATO
35,520798,BUD LIGHT LIME
36,520797,BUD LIGHT GOLDEN WHEAT
37,598119,MICKEYS MALT LIQUOR
38,629870,ROLLING ROCK
39,626295,RED STRIPE
40,632956,SAMUEL ADAMS BOSTON LAGER
41,592509,MAGNUM MALT LIQUOR
42,646279,SUNCHY MALTA MALT BEVERAGE
43,644239,STEEL RESERVE 211 HIGH GVTY LG
44,632976,SAMUEL ADAMS LIGHT
45,559259,GEORGE KILLIAN'S IRISH RED LGR
46,520860,BUDWEISER
47,645277,STROH'S
48,632987,SAMUEL ADAMS SEASONAL
49,520862,BUDWEISER AMERICAN ALE
50,520864,BUDWEISER SELECT
51,520865,BUDWEISER SELECT LIGHT
52,599719,MODELO ESPECIAL
53,564391,GROLSCH
54,536746,CTL BR
55,521395,BUSCH
56,521396,BUSCH ICE
57,521397,BUSCH LIGHT
58,521398,BUSCH NA NEAR BEER
59,543420,DOS EQUIS AMBER LAGER
60,543423,DOS EQUIS ESPECIAL LAGER
61,568511,HENRY WEINHARD'S BLU BR PL ALE
62,568515,HENRY WEINHARD'S INDIA PLE ALE
63,649923,TECATE
64,649924,TECATE LIGHT
65,568519,HENRY WEINHARD'S PVT RSV
66,608972,O'DOUL'S MALT BEVERAGE
67,626381,REDHOOK ESB ALE
68,626387,REDHOOK SEASONAL
69,582358,KOKANEE GLACIER
70,613079,PACIFICO
71,534232,CORONA EXTRA
72,613081,PACIFICO CLARA
73,534236,CORONA LIGHT
74,629471,ROCK GREEN LIGHT
75,644319,STEINLAGER
76,605409,NEGRA MODELO DARK
77,644328,STELLA ARTOIS
78,585960,LANDSHARK
79,598765,MILLER 64 LIGHT
80,572143,HURRICANE HIGH GRAVITY LAGER
81,598769,MILLER CHILL LIGHT
82,572147,HURRICANE MALT LIQUOR
83,598772,MILLER GENUINE DRAFT
84,606454,NEWCASTLE BROWN ALE
85,598775,MILLER HIGH LIFE
86,534262,CORONITA EXTRA
87,562425,GORDON BIERSCH MARZEN LAGER
88,598777,MILLER HIGH LIFE LIGHT
89,598779,MILLER LITE
90,572668,ICEHOUSE
91,505606,AMSTEL LIGHT
92,669958,DESCHUTES BREWERY MR PD PL ALE
93,618250,PILSNER URQUELL
94,669962,DESCHUTES BREWERY SEASONAL
95,503065,ALASKAN AMBER ALT
96,634663,SCHLITZ
97,634672,SCHLITZ MALT LIQUOR
98,680268,REDHOOK LONG HAMMER IND PL ALE
99,610126,OLD MILWAUKEE
100,610131,OLD MILWAUKEE LIGHT
101,610132,OLD MILWAUKEE NA MALT BEVERAGE
102,665427,WIDMER BROTHERS GLDN HFWZN WHT
103,639835,SMITHWICK'S IRISH ALE
104,599902,MOLSON CANADIAN
105,640862,SOL
106,621409,PRESIDENTE PILSNER
107,606051,NEW BELGIUM FAT TIRE AMBER ALE
108,599908,MOLSON ICE
109,599907,MOLSON GOLDEN
110,566627,HARP
111,643435,ST PAULI GIRL
112,598893,MILWAUKEE'S BEST
113,598894,MILWAUKEE'S BEST ICE
114,598895,MILWAUKEE'S BEST LIGHT
115,633718,SAPPORO
116,641915,SOUTHPAW LIGHT
117,533896,COORS BANQUET
118,533899,COORS LIGHT
119,533900,COORS NA MALT BEVERAGE
120,611729,ORIGINAL HONEY BROWN LAGER
121,554900,FOSTER'S
122,517015,BLUE MOON BELGIAN WHITE ALE
123,637852,SIERRA NEVADA PALE ALE
124,637854,SIERRA NEVADA SEASONAL
125,517025,BLUE MOON SEASONAL ALE
126,563619,GREAT LAKES CHRISTMAS ALE
127,568229,HEINEKEN
128,568232,HEINEKEN LIGHT
129,532396,COLT 45 MALT LIQUOR
130,512957,BECK'S
131,512961,BECK'S PREMIER LIGHT
132,637377,SHINER BOCK
133,585162,LABATT BLUE LIGHT
134,585164,LABATT BLUE PILSNER
135,565711,HAMM'S
136,610256,OLD STYLE
137,612818,PABST BLUE RIBBON
138,610261,OLD STYLE LIGHT
139,626135,RED DOG
140,612823,PABST GENUINE DRAFT
141,625117,RAINIER
142,616939,PETE'S WICKED ALE
143,559086,GENESEE
